headline,link,date,source,sentiment
"UK backs advanced manufacturing, clean energy in ten-year industrial plan",https://www.reuters.com/sustainability/climate-energy/uk-backs-advanced-manufacturing-clean-energy-ten-year-industrial-plan-2025-06-23/,2025-06-23,Reuters,Bullish
Italian energy group Eni sells 20% of Plenitude to Ares for $2.3 billion,https://www.reuters.com/sustainability/climate-energy/italys-eni-sells-20-plenitude-unit-ares-2-billion-euros-2025-06-23/,2025-06-23,Reuters,Neutral
Spectris snubs KKR for $5.9 billion Advent buyout,https://www.reuters.com/markets/deals/advent-acquire-spectris-59-billion-deal-2025-06-23/,2025-06-23,Reuters,Neutral
"Brainlab sets IPO price range, targets market value of up to 2.1 billion euros",https://www.reuters.com/business/finance/germanys-brainlab-sets-ipo-price-range-80-100-euros-per-share-2025-06-23/,2025-06-23,Reuters,Neutral
"Bank of New York Mellon approached Northern Trust to discuss potential merger, WSJ reports",https://www.reuters.com/business/finance/bank-new-york-mellon-approached-northern-trust-discuss-potential-merger-wsj-2025-06-22/,2025-06-22,Reuters,Neutral
"Bitcoin falls 4% to $99,237",https://www.reuters.com/business/finance/bitcoin-falls-4-99237-2025-06-22/,2025-06-22,Reuters,Negative
UniCredit brings Italian life insurance business in house,https://www.reuters.com/business/finance/unicredit-brings-italian-life-insurance-business-house-2025-06-20/,2025-06-20,Reuters,Neutral
"Citigroup hires Drago Rajkovic as co-head of M&A from JPMorgan, memo says",https://www.reuters.com/business/finance/citigroup-hires-drago-rajkovic-co-head-ma-jpmorgan-memo-says-2025-06-20/,2025-06-20,Reuters,Neutral
"US Senate referee rules against cuts to CFPB, financial regulators in tax and spending bill",https://www.reuters.com/legal/government/us-senate-referee-rules-against-cuts-cfpb-financial-regulators-tax-spending-bill-2025-06-20/,2025-06-20,Reuters,Positive
"EU lifts EIB lending limit to 100 billion euros in energy, tech, defence push",https://www.reuters.com/business/finance/eu-lift-eib-lending-limit-100-billion-euros-defence-push-sources-say-2025-06-20/,2025-06-20,Reuters,Neutral
"Exclusive: Global trading giants step up India presence, fuelling talent rush, exchange upgrades",https://www.reuters.com/business/finance/global-trading-giants-step-up-india-presence-fuelling-talent-rush-exchange-2025-06-20/,2025-06-22,Reuters,Neutral
Italy's market watchdog calls for ECB coordination as banking deals boom,https://www.reuters.com/business/finance/italys-market-watchdog-calls-ecb-coordination-banking-deals-boom-2025-06-20/,2025-06-20,Reuters,Neutral
"UniCredit likely to drop Banco BPM offer, says Orcel",https://www.reuters.com/business/finance/unicredit-ceo-says-likely-withdraw-offer-banco-bpm-2025-06-20/,2025-06-20,Reuters,Negative
ECB's Nagel says savings union more urgent than banking union,https://www.reuters.com/business/finance/ecbs-nagel-says-savings-union-more-urgent-than-banking-union-2025-06-19/,2025-06-19,Reuters,Bullish
"Russia's VTB still plans to open a branch in Iran but will wait for hostilities to end first, CEO says",https://www.reuters.com/business/finance/russias-vtb-still-plans-open-branch-iran-will-wait-hostilities-end-first-ceo-2025-06-19/,2025-06-19,Reuters,Neutral
Ex-Janus Henderson analyst found guilty of insider dealing in UK,https://www.reuters.com/legal/government/ex-janus-henderson-analyst-found-guilty-insider-dealing-uk-2025-06-19/,2025-06-19,Reuters,Bearish
Russia's Sberbank sees 50% increase in Chinese businesses opening accounts in past year,https://www.reuters.com/business/finance/russias-sberbank-sees-50-increase-chinese-businesses-opening-accounts-past-year-2025-06-19/,2025-06-19,Reuters,Neutral
EU regulators clear with conditions UniCredit's acquisition of Banco BPM,https://www.reuters.com/sustainability/boards-policy-regulation/eu-regulators-clear-with-conditions-unicredits-acquisition-banco-bpm-2025-06-19/,2025-06-19,Reuters,Neutral
Explainer: BBVA's battle for Sabadell faces Spanish government decision,https://www.reuters.com/business/finance/bbvas-battle-sabadell-faces-spanish-government-decision-2025-06-19/,2025-06-19,Reuters,Neutral
